Date,Open,High,Low,Close,Adj Close,Volume
2015-05-19,13068.500000,13149.099609,13022.000000,13066.950195,13066.950195,0
2015-05-20,13122.349609,13148.349609,13043.799805,13063.000000,13063.000000,0
2015-05-21,13100.900391,13112.400391,12982.099609,13045.299805,13045.299805,0
2015-05-22,null,null,null,null,null,null
2015-05-25,13094.099609,13155.799805,13073.750000,13092.950195,13092.950195,0
2015-05-26,13114.450195,13144.049805,13051.000000,13092.799805,13092.799805,0
2015-05-27,13027.349609,13105.900391,13005.299805,13095.599609,13095.599609,0
2015-05-28,13120.099609,13140.599609,12975.549805,13037.349609,13037.349609,0
2015-05-29,13078.250000,13198.250000,13058.000000,13180.750000,13180.750000,0
2015-06-01,13149.650391,13223.400391,13146.000000,13180.049805,13180.049805,0
2015-06-02,13200.450195,13205.099609,12878.900391,12893.900391,12893.900391,0
2015-06-03,12900.700195,12900.700195,12454.900391,12697.450195,12697.450195,0
2015-06-04,12724.349609,12744.450195,12572.849609,12697.400391,12697.400391,0
2015-06-05,12662.950195,12796.700195,12638.799805,12721.000000,12721.000000,0
2015-06-08,12742.549805,12742.549805,12495.450195,12524.650391,12524.650391,0
2015-06-09,12495.849609,12554.250000,12408.549805,12477.400391,12477.400391,0
2015-06-10,12499.250000,12643.250000,12499.250000,12614.750000,12614.750000,0
2015-06-11,12690.450195,12706.799805,12396.150391,12402.150391,12402.150391,0
2015-06-12,12389.849609,12429.650391,12326.700195,12410.250000,12410.250000,0
2015-06-15,12447.349609,12520.000000,12413.349609,12433.500000,12433.500000,0
2015-06-16,12441.650391,12500.750000,12348.549805,12476.849609,12476.849609,0
2015-06-17,12547.299805,12718.150391,12522.500000,12670.200195,12670.200195,0
2015-06-18,12704.799805,12771.400391,12704.799805,12762.299805,12762.299805,0
2015-06-19,12816.000000,12883.750000,12802.599609,12847.000000,12847.000000,191900
2015-06-22,12899.599609,13057.950195,12882.099609,13046.200195,13046.200195,0
2015-06-23,13086.650391,13161.700195,13030.000000,13088.150391,13088.150391,0
2015-06-24,13116.599609,13116.700195,12929.299805,12961.900391,12961.900391,0
